Label,Failed Sets Count,Failed Sets,Code Snippet
0,9,"misclassified_in_Test_2.csv.csv, misclassified_in_Test_2.csv.csv, misclassified_in_Test_2.csv.csv, misclassified_in_Test_2.csv.csv, misclassified_in_Test_2.csv.csv, misclassified_in_Test_2.csv.csv, misclassified_in_Test_2.csv.csv, misclassified_in_Test_2.csv.csv, misclassified_in_Test_2.csv.csv",
0,2,"misclassified_in_Test_6.csv.csv, misclassified_in_Test_6.csv.csv","pl.Series(\""sector_exposure\"", [\r\n        \""Technology=0.207;Financials=0.090;Health Care=0.084;Consumer Discretionary=0.069\"", \r\n        \""Financials=0.250;Health Care=0.200;Consumer Staples=0.150;Industrials=0.400\""\r\n    ])\r\n    pl.col(\""sector_exposure\"")\r\n    .str.split(\"";\"")\r\n    .list.explode()\r\n    .str.split(\""=\"")\r\n    .arr.to_struct(n_field_strategy=\""max_width\"")\r\n    .unnest()\r\n    .group_by(df.select(pl.int_range(0, df.height)).to_series())\r\n    .agg([\r\n        pl.col(\""field_0\""),\r\n        pl.col(\""field_1\"").cast(pl.Float64)\r\n    ])\r\n    .map_elements(lambda x: dict(zip(x[0], x[1])))\r\n    .struct.rename_fields([\r\n        k for row in df[\""sector_exposure\""].str.split(\"";\"").to_list()\r\n        for k in [v.split(\""=\"")[0] for v in row]\r\n    ])\r\n    .alias(\""sector_struct\"")"
0,2,"misclassified_in_Test_9.csv.csv, misclassified_in_Test_9.csv.csv","public String transform(List<CustomObject> list) {\r\n    return list.stream()\r\n        .filter(o -> o.objectType().equals(""BUSINESS""))\r\n        .filter(o -> o.objectStatus().equals(""ACTIVE""))\r\n        .filter(o -> o.locale().equals(""en-US""))\r\n        .findFirst()\r\n        .orElseGet(() -> list.stream()\r\n            .filter(o -> o.objectType().equals(""BUSINESS""))\r\n            .sorted(Comparator.comparing(CustomObject::url))\r\n            .findFirst()\r\n            .get())\r\n        .getUrl();\r\n}\r\n"
0,2,"misclassified_in_Test_9.csv.csv, misclassified_in_Test_8.csv.csv","import polars as pl\r\n\r\ndf = pl.DataFrame(\r\n    {\r\n        ""A"": [""foo"", ""ham"", ""spam"", ""egg""],\r\n        ""L"": [""A54"", ""A12"", ""B84"", ""C12""],\r\n        ""G"": [""X34"", ""C84"", ""G96"", ""L6""],\r\n    }\r\n)\r\n\r\ndf = df.with_columns(\r\n    pl.when((pl.col(""A"") == ""foo"") | (pl.col(""A"") == ""spam""))\r\n    .then(pl.lit(""XX""))\r\n    .otherwise(pl.col(""L""))\r\n    .alias(""L""),\r\n    pl.when((pl.col(""A"") == ""foo"") | (pl.col(""A"") == ""spam""))\r\n    .then(pl.lit(""XX""))\r\n    .otherwise(pl.col(""G""))\r\n    .alias(""G"")\r\n)\r\n\r\nprint(df)\r\n"
0,2,"misclassified_in_Test_9.csv.csv, misclassified_in_Test_2.csv.csv",from dataclasses import dataclass\r\nfrom typing import Protocol\r\n\r\nclass HasA(Protocol):\r\n    a: int\r\n\r\nclass HasHasA(Protocol):\r\n    hasa: HasA\r\n\r\n@dataclass\r\nclass Inner(HasA):\r\n    a: int\r\n\r\n@dataclass\r\nclass Outer:\r\n    hasa: HasA\r\n\r\ndef func(b: HasHasA): ...\r\n\r\no = Outer(Inner(0))\r\nfunc(o)\r\n
0,2,"misclassified_in_Test_8.csv.csv, misclassified_in_Test_8.csv.csv","import com.fasterxml.jackson.core.JsonProcessingException;\r\nimport com.fasterxml.jackson.databind.ObjectMapper;\r\nimport java.util.HashMap;\r\nimport java.util.Map;\r\n\r\npublic class JSONConverter {\r\n    public static void main(String[] args) {\r\n        Map<String, Integer> fields = new HashMap<>();\r\n        fields.put(""test_first"", 1);\r\n        fields.put(""test_second"", 2);\r\n        \r\n        ObjectMapper mapper = new ObjectMapper();\r\n        Map<String, Integer> transformedMap = new HashMap<>();\r\n        \r\n        for (Map.Entry<String, Integer> entry : fields.entrySet()) {\r\n            String key = toCamelCase(entry.getKey());\r\n            transformedMap.put(key, entry.getValue());\r\n        }\r\n        \r\n        try {\r\n            String json = mapper.writeValueAsString(transformedMap);\r\n            System.out.println(json);\r\n        } catch (JsonProcessingException e) {\r\n            e.printStackTrace();\r\n        }\r\n    }\r\n\r\n    private static String toCamelCase(String str) {\r\n        String[] parts = str.split(""_"");\r\n        StringBuilder camelCaseString = new StringBuilder(parts[0]);\r\n        for (int i = 1; i < parts.length; i++) {\r\n            camelCaseString.append(parts[i].substring(0, 1).toUpperCase()).append(parts[i].substring(1));\r\n        }\r\n        return camelCaseString.toString();\r\n    }\r\n}\r\n"
0,2,"misclassified_in_Test_8.csv.csv, misclassified_in_Test_2.csv.csv","import java.util.Scanner;\r\n\r\nclass SentenceProcessor {\r\n    \r\n    public boolean isValidSentence(String sentence) {\r\n        return sentence.matches(""[a-zA-Z ]+"");\r\n    }\r\n\r\n    public String processSentence(String sentence) {\r\n        if (!isValidSentence(sentence)) {\r\n            return sentence + "" is an invalid sentence"";\r\n        }\r\n\r\n        String[] words = sentence.trim().split(""\\s+"");\r\n\r\n        if (words.length <= 2) {\r\n            return ""Invalid Length"";\r\n        }\r\n\r\n        String firstWord = words[0];\r\n        String lastWord = words[words.length - 1];\r\n        words[0] = lastWord;\r\n        words[words.length - 1] = firstWord;\r\n\r\n        for (int i = 1; i < words.length - 1; i++) {\r\n            words[i] = new StringBuilder(words[i]).reverse().toString();\r\n        }\r\n\r\n        return String.join("" "", words);\r\n    }\r\n}\r\n\r\npublic class UserInterface {\r\n    \r\n    public static void main(String[] args) {\r\n        Scanner sc = new Scanner(System.in);\r\n        \r\n        System.out.println(""Enter the sentence"");\r\n        String input = sc.nextLine();\r\n        \r\n        SentenceProcessor processor = new SentenceProcessor();\r\n        String result = processor.processSentence(input);\r\n        \r\n        System.out.println(result);\r\n        \r\n        sc.close();\r\n    }\r\n}\r\n"
0,2,"misclassified_in_Test_8.csv.csv, misclassified_in_Test_8.csv.csv","public class AlarmReceiver extends BroadcastReceiver {\r\n\r\n    private static Ringtone ringtone;\r\n\r\n    @Override\r\n    public void onReceive(Context context, Intent intent) {\r\n\r\n        Vibrator vibrator = (Vibrator) context.getSystemService(Context.VIBRATOR_SERVICE);\r\n        if (vibrator != null) {\r\n            vibrator.vibrate(500);\r\n        }\r\n\r\n        String event = intent.getStringExtra(""title"");\r\n        String comment = intent.getStringExtra(""comment"");\r\n        Intent activityIntent = new Intent(context, MainActivity.class);\r\n        activityIntent.setFlags(Intent.FLAG_ACTIVITY_NEW_TASK | Intent.FLAG_ACTIVITY_CLEAR_TASK);\r\n        activityIntent.putExtra(""stop_music"", true);\r\n\r\n        PendingIntent pendingIntent = PendingIntent.getActivity(context, 0, activityIntent, PendingIntent.FLAG_UPDATE_CURRENT);\r\n\r\n        String text = ""Reminder: "" + event + ""\n"" + ""Comments: "" + comment;\r\n        NotificationCompat.Builder builder = new NotificationCompat.Builder(context, ""myandroid"")\r\n                .setSmallIcon(R.drawable.alarm)\r\n                .setContentTitle(event)\r\n                .setContentText(text)\r\n                .setAutoCancel(true)\r\n                .setStyle(new NotificationCompat.BigTextStyle().bigText(text))\r\n                .setContentIntent(pendingIntent)\r\n                .setDeleteIntent(pendingIntent)\r\n                .setDefaults(NotificationCompat.DEFAULT_ALL)\r\n                .setPriority(NotificationCompat.PRIORITY_HIGH);\r\n\r\n        NotificationManagerCompat notificationManagerCompat = NotificationManagerCompat.from(context);\r\n        notificationManagerCompat.notify(123, builder.build());\r\n\r\n        Uri notificationUri = RingtoneManager.getDefaultUri(RingtoneManager.TYPE_ALARM);\r\n        ringtone = RingtoneManager.getRingtone(context, notificationUri);\r\n        if (ringtone != null) {\r\n            ringtone.play();\r\n        }\r\n    }\r\n\r\n    public static void stopRingtone() {\r\n        if (ringtone != null && ringtone.isPlaying()) {\r\n            ringtone.stop();\r\n        }\r\n    }\r\n}\r\n"
0,2,"misclassified_in_Test_2.csv.csv, misclassified_in_Test_2.csv.csv",ÃÂÃÂÃÂÃÂ¢ÃÂÃÂ¢ÃÂÃÂÃÂÃÂÃÂÃÂ¢ÃÂÃÂÃÂÃÂ  [1.5
0,2,"misclassified_in_Test_2.csv.csv, misclassified_in_Test_2.csv.csv","import polars as pl\r\nimport numpy as np\r\n\r\ndef horizontal_median(df: pl.DataFrame) -> pl.DataFrame:\r\n    return df.with_columns(\r\n        pl.struct(df.select(pl.col(pl.Int64))).map_elements(\r\n            lambda row: float(np.nanmedian([v for v in row.values() if v is not None]))\r\n        ).alias(""Horizontal Median"")\r\n    )\r\n\r\ndf = pl.DataFrame({\r\n    ""ABC"": [""foo"", ""bar"", ""foo""],\r\n    ""A"": [1, 2, 3],\r\n    ""B"": [2, 1, None],\r\n    ""C"": [1, 2, 3]\r\n})\r\n\r\nprint(horizontal_median(df))\r\n"
