Rule,Description,FullSnippet,ErrorLines,Source
AvoidFieldNameMatchingMethodName,Field id has the same name as a method,"import com.couchbase.client.core.error.DocumentNotFoundException;
import com.couchbase.client.java.Collection;
import com.couchbase.client.java.codec.RawJsonTranscoder;
import com.couchbase.client.java.json.JsonObject;
import com.couchbase.client.java.kv.GetResult;
import com.couchbase.client.java.kv.InsertOptions;
import com.couchbase.client.java.kv.MutationResult;

import static java.util.Objects.requireNonNull;

public class CouchbaseConnector {
  /**
   * Associates a document ID with a JsonObject.
   */
  public static class JsonDocument {
    private final String id;
    private final JsonObject content; // nullable!

    public JsonDocument(String id, JsonObject content) {
      this.id = requireNonNull(id);
      this.content = content;
    }

    public String id() {
      return id;
    }

    public JsonObject content() {
      return content;
    }
  }

  private final Collection collection;

  public CouchbaseConnector(Collection collection) {
    this.collection = requireNonNull(collection);
  }

  public MutationResult insert(String id, String jsonString) {
    // Use RawJsonTranscoder.INSTANCE when you have a String or byte array
    // containing pre-formatted JSON:
    return collection.insert(id, jsonString,
      InsertOptions.insertOptions()
        .transcoder(RawJsonTranscoder.INSTANCE)
    );
  }

  public MutationResult insert(String id, JsonObject jsonObject) {
    // Use the JsonTranscoder (the default) with JsonObject,
    // and any other Java object compatible with JSON data binding:
    return collection.insert(id, jsonObject);
  }

  public MutationResult insert(JsonDocument document) {
    return collection.insert(document.id(), document.content());
  }

  public GetResult retrieve(String id) throws DocumentNotFoundException {
    return collection.get(id);
  }

  @Deprecated
  public JsonDocument retrieveAsJsonObject(String id) throws DocumentNotFoundException {
    GetResult result = collection.get(id);
    return new JsonDocument(id, result.contentAsObject());
  }

  public MutationResult remove(String id) {
    try {
      return collection.remove(id);
    } catch (DocumentNotFoundException e) {
      return null;
    }
  }

  @Deprecated
  public JsonDocument removeAsJsonDocument(String id) {
    MutationResult result = remove(id);
    return result == null ? null : new JsonDocument(id, null);
  }
}",    private final String id;,StackOverflow
AvoidFieldNameMatchingMethodName,Field content has the same name as a method,"import com.couchbase.client.core.error.DocumentNotFoundException;
import com.couchbase.client.java.Collection;
import com.couchbase.client.java.codec.RawJsonTranscoder;
import com.couchbase.client.java.json.JsonObject;
import com.couchbase.client.java.kv.GetResult;
import com.couchbase.client.java.kv.InsertOptions;
import com.couchbase.client.java.kv.MutationResult;

import static java.util.Objects.requireNonNull;

public class CouchbaseConnector {
  /**
   * Associates a document ID with a JsonObject.
   */
  public static class JsonDocument {
    private final String id;
    private final JsonObject content; // nullable!

    public JsonDocument(String id, JsonObject content) {
      this.id = requireNonNull(id);
      this.content = content;
    }

    public String id() {
      return id;
    }

    public JsonObject content() {
      return content;
    }
  }

  private final Collection collection;

  public CouchbaseConnector(Collection collection) {
    this.collection = requireNonNull(collection);
  }

  public MutationResult insert(String id, String jsonString) {
    // Use RawJsonTranscoder.INSTANCE when you have a String or byte array
    // containing pre-formatted JSON:
    return collection.insert(id, jsonString,
      InsertOptions.insertOptions()
        .transcoder(RawJsonTranscoder.INSTANCE)
    );
  }

  public MutationResult insert(String id, JsonObject jsonObject) {
    // Use the JsonTranscoder (the default) with JsonObject,
    // and any other Java object compatible with JSON data binding:
    return collection.insert(id, jsonObject);
  }

  public MutationResult insert(JsonDocument document) {
    return collection.insert(document.id(), document.content());
  }

  public GetResult retrieve(String id) throws DocumentNotFoundException {
    return collection.get(id);
  }

  @Deprecated
  public JsonDocument retrieveAsJsonObject(String id) throws DocumentNotFoundException {
    GetResult result = collection.get(id);
    return new JsonDocument(id, result.contentAsObject());
  }

  public MutationResult remove(String id) {
    try {
      return collection.remove(id);
    } catch (DocumentNotFoundException e) {
      return null;
    }
  }

  @Deprecated
  public JsonDocument removeAsJsonDocument(String id) {
    MutationResult result = remove(id);
    return result == null ? null : new JsonDocument(id, null);
  }
}",    private final JsonObject content; // nullable!,StackOverflow
AvoidFieldNameMatchingTypeName,It is somewhat confusing to have a field name matching the declaring class name,"import java.net.*;
import java.io.*;

public class Server {

    ServerSocket server = new ServerSocket(8080);

    Server() throws IOException {
        while (true) {
            Socket client = server.accept();
            DataInputStream input = new DataInputStream(new BufferedInputStream(client.getInputStream()));
            DataOutputStream output = new DataOutputStream(new BufferedOutputStream(client.getOutputStream()));

            int op = input.readInt();
            int num1 = input.readInt();
            int num2 = input.readInt();
            int num3 = input.readInt();

            switch (op) {
                case 0:
                    output.writeInt(num1 + num2 + num3);
                    output.flush();
                    break;
                case 1:
                    output.writeInt(num1 - num2 - num3);
                    output.flush();
                    break;
                case 2:
                    output.writeInt(num1 * num2 * num3);
                    output.flush();
                    break;
            }

            input.close();
            output.close();
            client.close();
        }
    }

    public static void main(String[] args) {
        try {
            Server server = new Server();
        } catch (IOException e) {
            System.out.print(e);
        }
    }
}",    ServerSocket server = new ServerSocket(8080);,StackOverflow
CloseResource,Ensure that resources like this Socket object are closed after use,"import java.net.*;
import java.io.*;

public class Server {

    ServerSocket server = new ServerSocket(8080);

    Server() throws IOException {
        while (true) {
            Socket client = server.accept();
            DataInputStream input = new DataInputStream(new BufferedInputStream(client.getInputStream()));
            DataOutputStream output = new DataOutputStream(new BufferedOutputStream(client.getOutputStream()));

            int op = input.readInt();
            int num1 = input.readInt();
            int num2 = input.readInt();
            int num3 = input.readInt();

            switch (op) {
                case 0:
                    output.writeInt(num1 + num2 + num3);
                    output.flush();
                    break;
                case 1:
                    output.writeInt(num1 - num2 - num3);
                    output.flush();
                    break;
                case 2:
                    output.writeInt(num1 * num2 * num3);
                    output.flush();
                    break;
            }

            input.close();
            output.close();
            client.close();
        }
    }

    public static void main(String[] args) {
        try {
            Server server = new Server();
        } catch (IOException e) {
            System.out.print(e);
        }
    }
}",            Socket client = server.accept();,StackOverflow
CloseResource,Ensure that resources like this DataInputStream object are closed after use,"import java.net.*;
import java.io.*;

public class Server {

    ServerSocket server = new ServerSocket(8080);

    Server() throws IOException {
        while (true) {
            Socket client = server.accept();
            DataInputStream input = new DataInputStream(new BufferedInputStream(client.getInputStream()));
            DataOutputStream output = new DataOutputStream(new BufferedOutputStream(client.getOutputStream()));

            int op = input.readInt();
            int num1 = input.readInt();
            int num2 = input.readInt();
            int num3 = input.readInt();

            switch (op) {
                case 0:
                    output.writeInt(num1 + num2 + num3);
                    output.flush();
                    break;
                case 1:
                    output.writeInt(num1 - num2 - num3);
                    output.flush();
                    break;
                case 2:
                    output.writeInt(num1 * num2 * num3);
                    output.flush();
                    break;
            }

            input.close();
            output.close();
            client.close();
        }
    }

    public static void main(String[] args) {
        try {
            Server server = new Server();
        } catch (IOException e) {
            System.out.print(e);
        }
    }
}",            DataInputStream input = new DataInputStream(new BufferedInputStream(client.getInputStream()));,StackOverflow
CloseResource,Ensure that resources like this DataOutputStream object are closed after use,"import java.net.*;
import java.io.*;

public class Server {

    ServerSocket server = new ServerSocket(8080);

    Server() throws IOException {
        while (true) {
            Socket client = server.accept();
            DataInputStream input = new DataInputStream(new BufferedInputStream(client.getInputStream()));
            DataOutputStream output = new DataOutputStream(new BufferedOutputStream(client.getOutputStream()));

            int op = input.readInt();
            int num1 = input.readInt();
            int num2 = input.readInt();
            int num3 = input.readInt();

            switch (op) {
                case 0:
                    output.writeInt(num1 + num2 + num3);
                    output.flush();
                    break;
                case 1:
                    output.writeInt(num1 - num2 - num3);
                    output.flush();
                    break;
                case 2:
                    output.writeInt(num1 * num2 * num3);
                    output.flush();
                    break;
            }

            input.close();
            output.close();
            client.close();
        }
    }

    public static void main(String[] args) {
        try {
            Server server = new Server();
        } catch (IOException e) {
            System.out.print(e);
        }
    }
}",            DataOutputStream output = new DataOutputStream(new BufferedOutputStream(client.getOutputStream()));,StackOverflow
NullAssignment,Assigning an Object to null is a code smell.  Consider refactoring.,"@Entity
public class Day {
    @PrimaryKey
    Long dayId = null;
    String date;
    Float weight;
    /* etc */

    Day(){} /* Room will use this constructor */
    @Ignore /* Tell Room to ignore this constructor, but still usable outside of Room, so makes life easier */
    Day(String date, Float weight) {
        this.dayId = null; /* not needed but effectively what happens */
        this.date = date;
        this.weight = weight;
    }
    /* No getters and setters required as members aren't private/protected */
}",        this.dayId = null; /* not needed but effectively what happens */,StackOverflow
TestClassWithoutTestCases,"The class 'ApplicationTest' might be a test class, but it contains no test cases.","import org.springframework.boot.autoconfigure.SpringBootApplication;
import org.springframework.context.annotation.ComponentScan;

@SpringBootApplication
@ComponentScan(basePackageClasses = { PredefinedAspect.class } )
public class ApplicationTest {
    public void main(String args[]) {
        SpringBootApplication.run(ApplicationTest.class, args);
    }
}",public class ApplicationTest {,StackOverflow
MissingSerialVersionUID,Classes implementing Serializable should set a serialVersionUID,"import java.awt.Color;
import java.awt.Dimension;
import java.awt.EventQueue;
import java.awt.Graphics;
import java.awt.Graphics2D;
import javax.swing.JFrame;
import javax.swing.JPanel;

public class Main {

    public static void main(String[] args) {
        new Main();
    }

    public Main() {
        EventQueue.invokeLater(new Runnable() {
            @Override
            public void run() {
                JFrame frame = new JFrame();
                frame.add(new DrawPane(300, 300));
                frame.pack();
                frame.setLocationRelativeTo(null);
                frame.setVisible(true);
            }
        });
    }

    public class DrawPane extends JPanel {

        int height, radius;

        public DrawPane(int myRadius, int myHeight) {
            super();
            radius = myRadius;
            height = myHeight;
        }

        @Override
        public Dimension getPreferredSize() {
            return new Dimension(400, 400);
        }

        public void paintComponent(Graphics g) {
            super.paintComponent(g);
            Graphics2D g2d = (Graphics2D) g.create();

            int x = (getWidth() - radius) / 2;
            int y = (getHeight() - (height + (radius / 4))) / 2;

            g2d.translate(x, y);

            g2d.setColor(Color.LIGHT_GRAY);
            g2d.drawRect(0, 0, radius, height + (radius / 4));

            // Base
            g2d.setColor(Color.RED);
            g2d.fillOval(0, height - (radius / 4), radius, radius / 2);

            g2d.setColor(Color.BLACK);
            g2d.drawOval(0, 0, radius, radius / 2);

            g2d.setColor(Color.BLACK);
            g2d.drawLine(0, radius / 4, 0, height);
            g2d.drawLine(radius, radius / 4, radius, height);

            g2d.dispose();
        }
    }
}",    public class DrawPane extends JPanel {,StackOverflow
AvoidFieldNameMatchingTypeName,It is somewhat confusing to have a field name matching the declaring class name,"public class ID {
    long id = 0L;
    int occurrence = 0;

    public ID(long id, int uses) {
        this.id = id;
        occurrence = uses;
    }

    public long getID() {
        return(id);
    }
    
    public int getOccurs() {
        return(occurrence);
    }
}",    long id = 0L;,StackOverflow
