Source,Check ID,Count
ChatGPT,generic.secrets.security.detected-generic-secret.detected-generic-secret,2
ChatGPT,java.java-jwt.security.jwt-hardcode.java-jwt-hardcoded-secret,2
ChatGPT,java.lang.security.audit.command-injection-process-builder.command-injection-process-builder,3
ChatGPT,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,6
ChatGPT,java.lang.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag,8
ChatGPT,java.lang.security.audit.crypto.ssl.insecure-hostname-verifier.insecure-hostname-verifier,1
ChatGPT,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,1
ChatGPT,java.lang.security.audit.object-deserialization.object-deserialization,2
ChatGPT,java.lang.security.audit.unsafe-reflection.unsafe-reflection,6
ChatGPT,java.lang.security.audit.weak-ssl-context.weak-ssl-context,2
ChatGPT,java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing.documentbuilderfactory-disallow-doctype-decl-missing,2
ChatGPT,java.lang.security.audit.xxe.transformerfactory-dtds-not-disabled.transformerfactory-dtds-not-disabled,1
ChatGPT,java.servlets.security.cookie-issecure-false.cookie-issecure-false,2
ChatGPT,java.spring.security.audit.spring-csrf-disabled.spring-csrf-disabled,12
ChatGPT,java.spring.security.injection.tainted-file-path.tainted-file-path,1
ChatGPT,java.spring.security.unrestricted-request-mapping.unrestricted-request-mapping,3
ChatGPT,problem-based-packs.insecure-transport.java-spring.bypass-tls-verification.bypass-tls-verification,1
StackOverflow,generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,1
StackOverflow,java.lang.security.audit.cbc-padding-oracle.cbc-padding-oracle,1
StackOverflow,java.lang.security.audit.command-injection-process-builder.command-injection-process-builder,1
StackOverflow,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,2
StackOverflow,java.lang.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag,3
StackOverflow,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,3
StackOverflow,java.lang.security.audit.object-deserialization.object-deserialization,2
StackOverflow,java.lang.security.audit.permissive-cors.permissive-cors,1
StackOverflow,java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing.documentbuilderfactory-disallow-doctype-decl-missing,2
StackOverflow,java.lang.security.audit.xxe.transformerfactory-dtds-not-disabled.transformerfactory-dtds-not-disabled,1
StackOverflow,java.spring.security.audit.spring-csrf-disabled.spring-csrf-disabled,6
StackOverflow,java.spring.security.injection.tainted-file-path.tainted-file-path,2
StackOverflow,java.spring.security.unrestricted-request-mapping.unrestricted-request-mapping,2
StackOverflow,problem-based-packs.insecure-transport.java-stdlib.disallow-old-tls-versions1.disallow-old-tls-versions1,1
StackOverflow,problem-based-packs.insecure-transport.java-stdlib.httpurlconnection-http-request.httpurlconnection-http-request,1
